_id,packageName,sourceDir,title,subtitle,description,websiteUrl,type,createdAt,updatedAt
ObjectId(58a794fa5fbc457423b17426),com.digitalsunray.advantage,com/digitalsunray/advantage,Digital Sunray,,,http://de.www.digitalsunray.com/,ADVERTISEMENT,2017-02-18T00:16:35.855Z,2017-02-18T00:16:35.858Z
ObjectId(58a794fb5fbc457423b17427),com.crformeout.admob,com/crformeout/admob,Admob (repacked by Crformeout),,,,ADVERTISEMENT,2017-02-18T00:16:35.860Z,2017-02-18T00:16:35.860Z
ObjectId(58a794fb5fbc457423b17429),com.smartadserver.library,com/smartadserver/library,SmartAdServer,,,http://www.smartadserver.com,ADVERTISEMENT,2017-02-18T00:16:35.861Z,2017-02-18T00:16:35.861Z
ObjectId(58a794fb5fbc457423b1742a),com.aquafadas,com/aquafadas,Aquafadas,,,https://www.aquafadas.com/,ADVERTISEMENT,2017-02-18T00:16:35.861Z,2017-02-18T00:16:35.861Z
ObjectId(58a794fc5fbc457423b1742b),com.citygrid.ads,com/citygrid/ads,CityGrid,,,http://www.citygrid.com/,ADVERTISEMENT,2017-02-18T00:16:35.861Z,2017-02-18T00:16:35.861Z
ObjectId(58a794fc5fbc457423b1742c),com.dianjoy,com/dianjoy,Dianjoy,,,http://www.dianjoy.com,ADVERTISEMENT,2017-02-18T00:16:35.862Z,2017-02-18T00:16:35.862Z
ObjectId(58a794fc5fbc457423b1742e),com.scoompa.ads,com/scoompa/ads,Scoompa Ads,,,https://www.scoompa.com/,ADVERTISEMENT,2017-02-18T00:16:35.863Z,2017-02-18T00:16:35.863Z
ObjectId(58a794fd5fbc457423b1742f),com.rhythmnewmedia.android,com/rhythmnewmedia/android,Rythm NewMedia,,,http://www.rhythmnewmedia.com,ADVERTISEMENT,2017-02-18T00:16:35.863Z,2017-02-18T00:16:35.863Z
ObjectId(58a794fd5fbc457423b17430),com.zestadz.android,com/zestadz/android,Zestadz,,,http://zestadz.com,ADVERTISEMENT,2017-02-18T00:16:35.864Z,2017-02-18T00:16:35.864Z
ObjectId(58a794fd5fbc457423b17431),com.scoreloop.client,com/scoreloop/client,ScoreLoop,,,,ADVERTISEMENT,2017-02-18T00:16:35.864Z,2017-02-18T00:16:35.864Z
ObjectId(58a794fd5fbc457423b17432),com.papaya,com/papaya,Papaya Mobile,,,http://www.ads.papayamobile.com/,ADVERTISEMENT,2017-02-18T00:16:35.865Z,2017-02-18T00:16:35.865Z
ObjectId(58a794fe5fbc457423b17433),com.vungle.sdk,com/vungle/sdk,Vungle,,,https://v.vungle.com/,ADVERTISEMENT,2017-02-18T00:16:35.865Z,2017-02-18T00:16:35.865Z
ObjectId(58a794fe5fbc457423b17434),com.adwhirl,com/adwhirl,AdWhirl,,,http://www.adwhirl.com,ADVERTISEMENT,2017-02-18T00:16:35.866Z,2017-02-18T00:16:35.866Z
ObjectId(58a794fe5fbc457423b17435),com.dianru.adsdk,com/dianru/adsdk,Dianru,,,http://www.dianru.com/,ADVERTISEMENT,2017-02-18T00:16:35.867Z,2017-02-18T00:16:35.867Z
ObjectId(58a794ff5fbc457423b17437),com.vpon.ads,com/vpon/ads,Vpon,,,http://www.vpon.com/,ADVERTISEMENT,2017-02-18T00:16:35.868Z,2017-02-18T00:16:35.868Z
ObjectId(58a794ff5fbc457423b17438),com.sessionm,com/sessionm,SessionM,,,https://www.sessionm.com/,ADVERTISEMENT,2017-02-18T00:16:35.868Z,2017-02-18T00:16:35.868Z
ObjectId(58a794ff5fbc457423b17439),com.pocketchange.android,com/pocketchange/android,Pocketchange,,,http://www.pocketchange.com/,ADVERTISEMENT,2017-02-18T00:16:35.868Z,2017-02-18T00:16:35.868Z
ObjectId(58a795005fbc457423b1743b),com.kuad,com/kuad,Kuad,,,http://kuad.com/,ADVERTISEMENT,2017-02-18T00:16:35.870Z,2017-02-18T00:16:35.870Z
ObjectId(58a795005fbc457423b1743e),com.comscore,com/comscore/,Comscore,,,https://www.comscore.com/,ADVERTISEMENT,2017-02-18T00:16:35.872Z,2017-02-18T00:16:35.872Z
ObjectId(58a795015fbc457423b17440),com.neodata.adagiosdk,com/neodata/adagiosdk,NeoData,,,http://neodata.com.au/,ADVERTISEMENT,2017-02-18T00:16:35.873Z,2017-02-18T00:16:35.873Z
ObjectId(58a795015fbc457423b17441),com.applift.playads,com/applift/playads,AppLift,,,http://www.applift.com/,ADVERTISEMENT,2017-02-18T00:16:35.874Z,2017-02-18T00:16:35.874Z
ObjectId(58a795015fbc457423b17442),com.motilityads,com/motilityads,Motility Ads,,,http://www.motilityads.com,ADVERTISEMENT,2017-02-18T00:16:35.875Z,2017-02-18T00:16:35.875Z
ObjectId(58a795025fbc457423b17443),com.geosophic,com/geosophic,Geosophic,,,http://www.geosophic.com,ADVERTISEMENT,2017-02-18T00:16:35.876Z,2017-02-18T00:16:35.876Z
